date	Networking Technology and Syst	INFORMATION TECHNOLOGY RESEARC	Computer Systems Research (CSR	ROBUST INTELLIGENCE	SPECIAL PROJECTS - CISE	SOFTWARE & HARDWARE FOUNDATION	Secure &Trustworthy Cyberspace	Cyber-Human Systems (CHS)	INFO INTEGRATION & INFORMATICS	CISE RESEARCH RESOURCES	THEORY OF COMPUTING	COMPUTING RES INFRASTRUCTURE	NUMERIC, SYMBOLIC & GEO COMPUT	CISE RESEARCH INFRASTRUCTURE	ALGORITHMIC FOUNDATIONS	COMPUTER SYSTEMS ARCHITECTURE	SOFTWARE ENGINEERING AND LANGU	ROBOTICS	INFORMATION & KNOWLEDGE MANAGE	ARTIFICIAL INTELL & COGNIT SCI	DIGITAL SOCIETY&TECHNOLOGIES	COMM & INFORMATION FOUNDATIONS	TRUSTWORTHY COMPUTING	NETWORK INFRASTRUCTURE	Software Institutes	DES AUTO FOR MICRO & NANO SYS	ADVANCED COMP RESEARCH PROGRAM	EPSCoR Co-Funding	ADVANCED NET INFRA & RSCH	SIGNAL PROCESSING SYS PROGRAM	HUMAN COMPUTER INTER PROGRAM	DISTRIBUTED SYSTEMS	CYBER-PHYSICAL SYSTEMS (CPS)	COMMUNICATIONS RESEARCH	COMPUTING PROCESSES & ARTIFACT	CROSS-DIRECTORATE PROGRAMS	ITR SMALL GRANTS	NETWORKING RESEARCH	SPECIAL PROGRAMS-RESERVE	ITR MEDIUM (GROUP) GRANTS	MAJOR RESEARCH INSTRUMENTATION	CYBER TRUST	SPECIAL PROJECTS - CCF	RSCH EXPER FOR UNDERGRAD SITES	Big Data Science &Engineering	Cyberlearn & Future Learn Tech	GRAPHICS & VISUALIZATION	Smart and Connected Health	National Robotics Initiative	CRII CISE Research Initiation
1981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1982	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1983	0	0	0	0	0	0	0	0	0	0	2	0	1	5	0	11	1	2	1	4	17	0	0	0	0	2	0	0	0	2	0	0	0	3	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0
1984	0	0	0	0	0	0	0	0	0	2	9	0	2	4	0	19	3	5	0	5	22	0	0	2	0	3	3	0	0	5	1	0	0	3	0	12	0	0	14	0	0	0	0	0	0	0	0	0	0	0
1985	0	0	0	0	0	0	0	0	0	0	11	0	3	6	0	13	5	10	0	20	28	0	0	3	0	6	6	0	1	11	2	0	0	3	0	29	0	0	16	0	0	0	0	0	0	0	0	0	0	0
1986	0	0	0	0	0	0	0	0	0	14	16	0	6	6	0	25	7	32	9	39	21	0	0	27	0	11	3	0	3	17	13	3	0	6	0	44	0	2	26	0	0	0	0	0	0	0	0	0	0	0
1987	0	0	0	0	0	0	0	0	0	32	26	0	13	5	0	39	21	28	10	27	18	0	0	11	0	27	11	0	11	11	9	0	0	9	0	76	0	7	35	0	0	0	0	0	0	0	0	0	0	0
1988	0	0	0	0	0	0	0	0	0	22	44	0	18	13	0	40	18	26	21	20	18	0	0	8	0	26	13	0	5	8	13	2	0	6	0	81	0	4	48	0	0	0	0	0	0	0	0	0	0	0
1989	0	0	0	0	0	0	0	0	0	43	58	0	23	12	0	46	28	39	37	38	14	0	0	12	0	23	18	0	11	20	11	1	0	12	0	64	0	11	74	0	0	0	0	0	0	0	0	0	0	0
1990	0	0	0	0	0	0	0	0	0	78	48	0	30	21	0	63	37	39	27	49	22	0	0	35	0	33	26	1	9	22	23	9	0	16	0	78	0	14	78	0	0	0	0	0	0	0	0	0	0	0
