date	ad+hoc	aims+develop	better+understanding	big+data	bring+together	brings+together	broad+range	broader+impact	broader+impact:	broader+impacts	broader+impacts:	cloud+computing	computer+science	computer+science,	computer+science.	computer+systems	computer+vision	data+analysis	data+management	data+mining	data+sets	data+structures	develop+new	develop+novel	developed+project	developing+new	development+new	doctoral+consortium	efficient+algorithms	goal+project	goal+research	graduate+students	graduate+undergraduate	hardware+software	high+performance	high+school	information+technology	intellectual+merit	international+conference	large+number	large+scale	learning+algorithms	machine+learning	machine+learning,	made+available	natural+language	new+algorithms	new+generation	new+methods	new+research	new+techniques	next+generation	objective+project	open+source	performance+computing	project+addresses	project+aims	project+also	project+develop	project+developing	project+develops	project+explores	project+focuses	project+include	project+includes	project+investigate	project+investigates	project+provide	project+seeks	proposed+research	proposed+work	research+also	research+community	research+develop	research+development	research+education	research+focuses	research+program	research+project	research+projects	research+results	research+team	results+project	results+research	science+engineering	sensor+networks	signal+processing	software+development	software+engineering	software+tools	state+art	state+university	take+advantage	techniques+developed	undergraduate+graduate	undergraduate+students	underrepresented+groups	wide+range	wide+variety	wireless+networks
1981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5714285714285716	0	0	0	0	0	3.5714285714285716	0	7.142857142857143	0	0	0	0	0	0	0	0	3.5714285714285716	21.42857142857143	0	0	0	0	0	0	0	3.5714285714285716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5714285714285716	3.5714285714285716	0	0	0	0	3.5714285714285716	0	0	3.5714285714285716	0	3.5714285714285716	28.571428571428573	10.714285714285715	0	0	0	0	0	0	0	28.571428571428573	0	0	7.142857142857143	0	0	0	0	0	0	0	0	3.5714285714285716	0
1985	0	0	0	0	0	2.5588536335721597	0	0	0	0	0	0	5.117707267144319	0	0	5.117707267144319	0	0	0	0	0	0	0	0	0	0	0	0	2.5588536335721597	0	7.676560900716479	0	0	0	2.5588536335721597	0	0	0	0	5.117707267144319	5.117707267144319	0	0	0	0	5.117707267144319	5.117707267144319	0	0	2.5588536335721597	0	0	2.5588536335721597	0	0	0	0	0	5.117707267144319	0	0	0	2.5588536335721597	0	0	0	0	2.5588536335721597	0	5.117707267144319	0	0	0	2.5588536335721597	0	0	2.5588536335721597	7.676560900716479	7.676560900716479	2.5588536335721597	0	0	0	0	0	0	28.147389969293755	0	0	0	0	0	0	0	0	0	0	2.5588536335721597	0	0
1986	0	0	1.2242899118511263	0	0	0	0	0	0	0	0	0	4.897159647404505	0	4.897159647404505	7.345739471106758	4.897159647404505	0	1.2242899118511263	0	0	3.672869735553379	1.2242899118511263	0	0	1.2242899118511263	2.4485798237022527	0	2.4485798237022527	0	2.4485798237022527	0	0	1.2242899118511263	2.4485798237022527	0	0	0	0	1.2242899118511263	2.4485798237022527	0	4.897159647404505	0	0	1.2242899118511263	2.4485798237022527	0	0	0	1.2242899118511263	1.2242899118511263	0	0	0	1.2242899118511263	0	0	1.2242899118511263	0	0	0	3.672869735553379	0	0	0	0	4.897159647404505	0	2.4485798237022527	2.4485798237022527	2.4485798237022527	0	3.672869735553379	2.4485798237022527	0	2.4485798237022527	2.4485798237022527	9.79431929480901	1.2242899118511263	0	1.2242899118511263	0	1.2242899118511263	15.915768854064643	0	9.79431929480901	0	4.897159647404505	2.4485798237022527	0	2.4485798237022527	0	1.2242899118511263	0	0	0	4.897159647404505	4.897159647404505	0
1987	0.55286800276434	0.27643400138217	2.48790601243953	0	0.27643400138217	1.3821700069108502	0.55286800276434	0	0	0	0	0	9.95162404975812	0.55286800276434	7.740152038700761	3.31720801658604	4.14651002073255	0	0	0	0	1.3821700069108502	1.3821700069108502	0	0.27643400138217	1.9350380096751902	1.65860400829302	0	1.9350380096751902	0.82930200414651	1.9350380096751902	1.3821700069108502	0	0.55286800276434	2.21147201105736	0	0.82930200414651	0	0.55286800276434	1.65860400829302	2.21147201105736	0.27643400138217	1.10573600552868	0.27643400138217	0	4.14651002073255	2.21147201105736	0.27643400138217	0.27643400138217	0.55286800276434	1.10573600552868	0	0.27643400138217	0	0	1.3821700069108502	1.3821700069108502	0.82930200414651	2.48790601243953	0.55286800276434	0	0.82930200414651	1.10573600552868	0	0.27643400138217	1.3821700069108502	0.82930200414651	0	0.27643400138217	4.97581202487906	1.65860400829302	0.55286800276434	1.3821700069108502	1.9350380096751902	0.55286800276434	0	1.9350380096751902	1.3821700069108502	3.59364201796821	4.14651002073255	3.04077401520387	0.55286800276434	0	0.55286800276434	6.63441603317208	0	4.69937802349689	2.7643400138217005	0.27643400138217	2.7643400138217005	0.55286800276434	3.04077401520387	0.82930200414651	1.10573600552868	0	1.9350380096751902	0	2.21147201105736	0.55286800276434	0
1988	0.8021175904387583	1.0694901205850111	0.8021175904387583	0	2.673725301462528	0.5347450602925056	0.2673725301462528	0	0	0	0	0	12.299136386727627	2.1389802411700223	7.486430844095079	4.81270554263255	3.4758428919012863	0.2673725301462528	0.2673725301462528	0	0.2673725301462528	2.94109783160878	2.673725301462528	0.2673725301462528	0	1.336862650731264	1.8716077110237697	0	1.6042351808775166	2.673725301462528	5.614823133071309	0.5347450602925056	0	1.6042351808775166	2.673725301462528	0.2673725301462528	0.5347450602925056	0	0.8021175904387583	1.336862650731264	2.673725301462528	0.5347450602925056	0.2673725301462528	0.2673725301462528	0.5347450602925056	8.55592096468009	2.406352771316275	0.5347450602925056	1.6042351808775166	0.8021175904387583	0.5347450602925056	1.0694901205850111	2.94109783160878	0	0.5347450602925056	0.8021175904387583	0.2673725301462528	1.0694901205850111	4.0105879521937915	0.2673725301462528	0	0.2673725301462528	0.8021175904387583	0	0	1.0694901205850111	0.5347450602925056	0.2673725301462528	0.2673725301462528	4.277960482340045	1.0694901205850111	0.8021175904387583	0	3.208470361755033	1.336862650731264	0.8021175904387583	3.7432154220475393	0.5347450602925056	2.406352771316275	2.406352771316275	0	0	0	0.5347450602925056	11.229646266142618	0	5.080078072778803	1.6042351808775166	2.94109783160878	1.0694901205850111	1.336862650731264	2.1389802411700223	1.6042351808775166	0.8021175904387583	0	3.208470361755033	0	3.208470361755033	1.336862650731264	0
1989	0.891583452211127	0.4457917261055635	1.3373751783166905	0	1.3373751783166905	0.6686875891583453	0.6686875891583453	0	0	0	0	0	13.150855920114122	1.560271041369472	4.012125534950071	0.6686875891583453	1.560271041369472	0.4457917261055635	0.22289586305278175	0	0.22289586305278175	2.897646219686163	1.560271041369472	0	0	0.4457917261055635	1.1144793152639088	0	3.120542082738944	3.343437945791726	2.674750356633381	1.3373751783166905	0.4457917261055635	1.783166904422254	2.897646219686163	0.4457917261055635	0.22289586305278175	0	0.22289586305278175	0.6686875891583453	1.783166904422254	0.6686875891583453	1.1144793152639088	0.4457917261055635	0.6686875891583453	2.0060627674750355	1.783166904422254	0.22289586305278175	0.891583452211127	0.891583452211127	1.783166904422254	0.6686875891583453	1.560271041369472	0	0.4457917261055635	0.891583452211127	0.6686875891583453	1.3373751783166905	4.012125534950071	0.22289586305278175	0.6686875891583453	0.6686875891583453	0.891583452211127	0.891583452211127	0.891583452211127	1.560271041369472	3.343437945791726	0.4457917261055635	1.1144793152639088	2.451854493580599	0.6686875891583453	0.4457917261055635	0.4457917261055635	1.783166904422254	2.674750356633381	0.4457917261055635	2.2289586305278175	1.560271041369472	2.451854493580599	2.2289586305278175	0.6686875891583453	0.22289586305278175	0.22289586305278175	1.3373751783166905	7.57845934379458	0	7.801355206847361	0.891583452211127	1.783166904422254	0.6686875891583453	0.4457917261055635	1.3373751783166905	1.3373751783166905	0.6686875891583453	0.4457917261055635	2.2289586305278175	0	1.3373751783166905	2.674750356633381	0
1990	0	0.8194169029318736	0.8194169029318736	0	1.1471836641046231	0.16388338058637472	0.32776676117274944	0	0	0	0	0	11.144069879873483	1.802717186450122	2.7860174699683706	1.4749504252773726	1.6388338058637473	0.32776676117274944	0	0	0.32776676117274944	2.4582507087956214	2.1304839476228716	0.16388338058637472	0.32776676117274944	0.9833002835182484	1.6388338058637473	0	2.6221340893819955	5.244268178763991	4.916501417591243	2.6221340893819955	0	0.9833002835182484	2.4582507087956214	0.4916501417591242	0.6555335223454989	0	0.16388338058637472	1.4749504252773726	1.9666005670364968	0.9833002835182484	0.9833002835182484	0.8194169029318736	0.16388338058637472	4.097084514659368	1.9666005670364968	0.4916501417591242	1.3110670446909978	0.4916501417591242	1.3110670446909978	1.1471836641046231	2.2943673282092463	0	0.32776676117274944	1.1471836641046231	0.32776676117274944	1.6388338058637473	3.4415509923138696	0.32776676117274944	0.32776676117274944	0.6555335223454989	1.3110670446909978	0.32776676117274944	0	2.2943673282092463	1.4749504252773726	1.4749504252773726	0.32776676117274944	2.7860174699683706	0.16388338058637472	0.9833002835182484	0.16388338058637472	4.260967895245743	1.802717186450122	1.1471836641046231	2.4582507087956214	0.9833002835182484	2.9499008505547453	2.9499008505547453	0.8194169029318736	0	0	0.9833002835182484	1.6388338058637473	0	6.22756846228224	0.8194169029318736	1.6388338058637473	1.802717186450122	0.8194169029318736	2.1304839476228716	0.9833002835182484	1.4749504252773726	0	3.11378423114112	0.16388338058637472	3.11378423114112	1.6388338058637473	0.32776676117274944
